"국가(대륙)별","상품군별","판매유형별",2021.4/4,2022.1/4 p)
"중국","생활용품 및 자동차용품","면세점",0,1
"중국","생활용품 및 자동차용품","면세점 이외",655,378
"중국","기 타","계",1797,4217
"중국","기 타","면세점",0,0
"중국","기 타","면세점 이외",1797,4217
"일본","합계","계",79288,73071
"일본","합계","면세점",526,356
"일본","합계","면세점 이외",78762,72715
"일본","컴퓨터 및 주변기기","계",14,2
"일본","컴퓨터 및 주변기기","면세점",0,0
"일본","컴퓨터 및 주변기기","면세점 이외",14,2
"일본","가전·전자·통신기기","계",31,98
"일본","가전·전자·통신기기","면세점",0,90
"일본","가전·전자·통신기기","면세점 이외",31,8
"일본","소프트웨어","계",0,0
"일본","소프트웨어","면세점",0,0
"일본","소프트웨어","면세점 이외",0,0
"일본","서 적","계",554,583
"일본","서 적","면세점",0,0
"일본","서 적","면세점 이외",554,583
"일본","사무·문구","계",380,960
"일본","사무·문구","면세점",0,0
"일본","사무·문구","면세점 이외",380,960
"일본","음반·비디오·악기","계",4157,3549
"일본","음반·비디오·악기","면세점",0,0
"일본","음반·비디오·악기","면세점 이외",4157,3549
"일본","의류 및 패션 관련상품","계",33780,26333
"일본","의류 및 패션 관련상품","면세점",3,2
"일본","의류 및 패션 관련상품","면세점 이외",33777,26331
"일본","스포츠·레저용품","계",517,397
"일본","스포츠·레저용품","면세점",0,0
"일본","스포츠·레저용품","면세점 이외",517,397
"일본","화장품","계",23077,27635
"일본","화장품","면세점",522,264
"일본","화장품","면세점 이외",22555,27371
"일본","아동·유아용품","계",212,253
"일본","아동·유아용품","면세점",0,0
"일본","아동·유아용품","면세점 이외",212,253
"일본","음·식료품","계",3551,2861
"일본","음·식료품","면세점",1,0
"일본","음·식료품","면세점 이외",3550,2861
"일본","농축수산물","계",0,0
"일본","농축수산물","면세점",0,0
"일본","농축수산물","면세점 이외",0,0
"일본","생활용품 및 자동차용품","계",2580,1514
"일본","생활용품 및 자동차용품","면세점",0,0
"일본","생활용품 및 자동차용품","면세점 이외",2580,1514
"일본","기 타","계",10435,8886
"일본","기 타","면세점",0,0
"일본","기 타","면세점 이외",10435,8886
"아세안(ASEAN)","합계","계",23677,21197
"아세안(ASEAN)","합계","면세점",1870,2949
"아세안(ASEAN)","합계","면세점 이외",21807,18248
"아세안(ASEAN)","컴퓨터 및 주변기기","계",33,9
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점",0,0
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외",33,9
"아세안(ASEAN)","가전·전자·통신기기","계",2138,1875
"아세안(ASEAN)","가전·전자·통신기기","면세점",74,28
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외",2064,1847
"아세안(ASEAN)","소프트웨어","계",0,0
"아세안(ASEAN)","소프트웨어","면세점",0,0
"아세안(ASEAN)","소프트웨어","면세점 이외",0,0
"아세안(ASEAN)","서 적","계",1224,521
"아세안(ASEAN)","서 적","면세점",0,0
"아세안(ASEAN)","서 적","면세점 이외",1224,521
"아세안(ASEAN)","사무·문구","계",561,519
"아세안(ASEAN)","사무·문구","면세점",0,0
"아세안(ASEAN)","사무·문구","면세점 이외",561,519
"아세안(ASEAN)","음반·비디오·악기","계",4256,2767
"아세안(ASEAN)","음반·비디오·악기","면세점",0,0
"아세안(ASEAN)","음반·비디오·악기","면세점 이외",4256,2767
"아세안(ASEAN)","의류 및 패션 관련상품","계",7816,8574
"아세안(ASEAN)","의류 및 패션 관련상품","면세점",76,142
"아세안(ASEAN)","의류 및 패션 관련상품","면세점 이외",7740,8432
"아세안(ASEAN)","스포츠·레저용품","계",1227,1295
"아세안(ASEAN)","스포츠·레저용품","면세점",0,0
"아세안(ASEAN)","스포츠·레저용품","면세점 이외",1227,1295
"아세안(ASEAN)","화장품","계",2795,3939
"아세안(ASEAN)","화장품","면세점",1701,2767
"아세안(ASEAN)","화장품","면세점 이외",1094,1172
"아세안(ASEAN)","아동·유아용품","계",647,268
"아세안(ASEAN)","아동·유아용품","면세점",0,0
"아세안(ASEAN)","아동·유아용품","면세점 이외",647,268
"아세안(ASEAN)","음·식료품","계",657,128
"아세안(ASEAN)","음·식료품","면세점",19,12
"아세안(ASEAN)","음·식료품","면세점 이외",638,116
"아세안(ASEAN)","농축수산물","계",1,0
"아세안(ASEAN)","농축수산물","면세점",0,0
"아세안(ASEAN)","농축수산물","면세점 이외",1,0
"아세안(ASEAN)","생활용품 및 자동차용품","계",1562,898
"아세안(ASEAN)","생활용품 및 자동차용품","면세점",0,0
"아세안(ASEAN)","생활용품 및 자동차용품","면세점 이외",1562,898
"아세안(ASEAN)","기 타","계",760,404
"아세안(ASEAN)","기 타","면세점",0,0
"아세안(ASEAN)","기 타","면세점 이외",760,404
"유럽연합(EU)","합계","계",5338,3675
"유럽연합(EU)","합계","면세점",10,24
"유럽연합(EU)","합계","면세점 이외",5328,3651
"유럽연합(EU)","컴퓨터 및 주변기기","계",244,152
"유럽연합(EU)","컴퓨터 및 주변기기","면세점",0,0
"유럽연합(EU)","컴퓨터 및 주변기기","면세점 이외",244,152
"유럽연합(EU)","가전·전자·통신기기","계",163,5
"유럽연합(EU)","가전·전자·통신기기","면세점",0,0
"유럽연합(EU)","가전·전자·통신기기","면세점 이외",163,5
"유럽연합(EU)","소프트웨어","계",8,0
"유럽연합(EU)","소프트웨어","면세점",0,0
"유럽연합(EU)","소프트웨어","면세점 이외",8,0
"유럽연합(EU)","서 적","계",278,201
"유럽연합(EU)","서 적","면세점",0,0
"유럽연합(EU)","서 적","면세점 이외",278,201
"유럽연합(EU)","사무·문구","계",12,20
"유럽연합(EU)","사무·문구","면세점",0,0
"유럽연합(EU)","사무·문구","면세점 이외",12,20
"유럽연합(EU)","음반·비디오·악기","계",1640,1107
"유럽연합(EU)","음반·비디오·악기","면세점",0,0
"유럽연합(EU)","음반·비디오·악기","면세점 이외",1640,1107
"유럽연합(EU)","의류 및 패션 관련상품","계",1407,1600
"유럽연합(EU)","의류 및 패션 관련상품","면세점",1,20
"유럽연합(EU)","의류 및 패션 관련상품","면세점 이외",1406,1580
"유럽연합(EU)","스포츠·레저용품","계",362,300
"유럽연합(EU)","스포츠·레저용품","면세점",0,0
"유럽연합(EU)","스포츠·레저용품","면세점 이외",362,300
"유럽연합(EU)","화장품","계",526,221
"유럽연합(EU)","화장품","면세점",8,4
"유럽연합(EU)","화장품","면세점 이외",518,217
"유럽연합(EU)","아동·유아용품","계",132,7
"유럽연합(EU)","아동·유아용품","면세점",0,0
"유럽연합(EU)","아동·유아용품","면세점 이외",132,7
"유럽연합(EU)","음·식료품","계",7,3
"유럽연합(EU)","음·식료품","면세점",1,0
"유럽연합(EU)","음·식료품","면세점 이외",6,3
